ID,User,Astrologer,"Call Rate","Call Time","Total Min",Deduction
1,tanu,Bhavin,500,"15-03-2023 09:14",3,1500
2,tanu,Rajvi,20,"21-02-2023 05:17",3,60
3,Nishi,Kinjal,500,"02-01-2023 01:04",5,2500
4,Nishi,Kinjal,,"02-01-2023 01:03",,
5,Nishi,Kinjal,500,"02-01-2023 11:22",3,1500
6,Nishi,Kinjal,500,"24-12-2022 06:13",7,3500
7,Nishi,Kinjal,,"12-12-2022 01:20",,
8,Nishi,Dignesh,,"06-12-2022 10:49",,
9,tanu,jigar,,"03-12-2022 06:38",,
10,tanu,jigar,,"03-12-2022 06:21",,
11,tanu,jigar,,"03-12-2022 05:19",,
12,tanu,jigar,,"03-12-2022 04:00",,
13,tanu,jigar,,"02-12-2022 12:56",,
14,tanu,Kinjal,,"29-11-2022 05:57",,
15,tanu,Kinjal,,"29-11-2022 04:48",,
16,tanu,Kinjal,,"25-11-2022 11:24",,
17,tanu,Kinjal,,"29-11-2022 09:20",,
18,tanu,Kinjal,,"25-11-2022 11:28",,
19,tanu,Kinjal,,"25-11-2022 11:26",,
20,tanu,Kinjal,,"25-11-2022 11:22",,
21,tanu,Kinjal,,"25-11-2022 11:05",,
22,tanu,Kinjal,,"25-11-2022 11:11",,
23,tanu,Kinjal,,"25-11-2022 11:08",,
24,tanu,Kinjal,,"25-11-2022 11:04",,
25,tanu,Kinjal,,"25-11-2022 11:01",,
26,tanu,Kinjal,,"25-11-2022 10:51",,
27,tanu,Kinjal,,"25-11-2022 10:47",,
28,tanu,Kinjal,,"25-11-2022 10:44",,
29,tanu,Kinjal,,"25-11-2022 10:42",,
30,tanu,Kinjal,,"25-11-2022 10:58",,
31,tanu,Kinjal,,"25-11-2022 10:22",,
32,tanu,Kinjal,,"25-11-2022 10:14",,
33,tanu,Kinjal,,"25-11-2022 10:07",,
34,tanu,Kinjal,,"25-11-2022 09:11",,
35,tanu,Kinjal,,"25-11-2022 07:07",,
36,tanu,Kinjal,,"25-11-2022 07:05",,
37,tanu,Kinjal,,"25-11-2022 06:42",,
38,tanu,Kinjal,,"25-11-2022 06:34",,
39,tanu,Kinjal,,"25-11-2022 06:22",,
40,tanu,Kinjal,,"25-11-2022 05:59",,
41,tanu,Kinjal,,"25-11-2022 05:35",,
42,tanu,Kinjal,,"25-11-2022 05:22",,
43,tanu,Kinjal,,"25-11-2022 05:21",,
44,tanu,Kinjal,,"25-11-2022 05:06",,
45,tanu,Kinjal,,"25-11-2022 05:05",,
46,tanu,Kinjal,,"25-11-2022 04:48",,
47,tanu,Kinjal,,"25-11-2022 04:44",,
48,tanu,Kinjal,,"25-11-2022 04:24",,
49,tanu,Kinjal,,"25-11-2022 04:22",,
50,tanu,Kinjal,,"25-11-2022 04:04",,
51,tanu,Kinjal,,"25-11-2022 03:59",,
52,tanu,Kinjal,,"25-11-2022 03:57",,
53,tanu,Kinjal,,"24-11-2022 12:48",,
54,tanu,Kinjal,,"24-11-2022 12:46",,
55,tanu,Kinjal,,"24-11-2022 12:45",,
56,tanu,Kinjal,,"24-11-2022 12:43",,
57,tanu,Kinjal,,"24-11-2022 12:40",,
58,tanu,Kinjal,,"24-11-2022 12:38",,
59,tanu,Kinjal,,"24-11-2022 12:34",,
60,tanu,Kinjal,,"24-11-2022 12:31",,
61,tanu,Kinjal,,"24-11-2022 12:28",,
62,tanu,Kinjal,,"24-11-2022 12:23",,
63,tanu,Kinjal,,"24-11-2022 12:16",,
64,tanu,Kinjal,,"24-11-2022 12:13",,
65,tanu,Kinjal,,"24-11-2022 12:11",,
66,tanu,Kinjal,,"24-11-2022 12:09",,
67,tanu,Kinjal,,"24-11-2022 12:06",,
68,tanu,Kinjal,,"24-11-2022 12:00",,
69,tanu,Kinjal,,"24-11-2022 11:59",,
70,tanu,Kinjal,,"24-11-2022 11:57",,
71,tanu,Kinjal,,"24-11-2022 11:55",,
